timestamp,frame,track_id,class,confidence,center_x,center_y,displacement_px,relative_to_piv_px,status
1788185591.864,1,1,Class_73,0.870,1218.5,537.5,0.00,,INITIALIZING
1788185591.864,1,2,Class_66,0.663,1776.5,305.5,0.00,,INITIALIZING
1788185592.586,2,1,Class_73,0.864,1219.0,537.0,0.00,,INITIALIZING
1788185592.586,2,2,Class_66,0.661,1777.0,307.0,0.00,,INITIALIZING
1788185592.798,3,1,Class_73,0.871,1215.0,538.0,0.00,,INITIALIZING
1788185592.798,3,2,Class_66,0.674,1776.0,307.0,0.00,,INITIALIZING
1788185592.952,4,1,Class_73,0.879,1217.0,537.5,0.00,,INITIALIZING
1788185592.952,4,2,Class_66,0.691,1775.5,306.0,0.00,,INITIALIZING
1788185593.232,5,1,Class_73,0.869,1215.0,538.0,0.00,,INITIALIZING
1788185593.232,5,2,Class_66,0.725,1775.5,306.0,0.00,,INITIALIZING
1788185593.530,6,1,Class_73,0.867,1217.5,538.5,0.00,,INITIALIZING
1788185593.530,6,2,Class_66,0.705,1775.0,307.0,0.00,,INITIALIZING
1788185593.882,7,1,Class_73,0.848,1220.0,539.5,0.00,,INITIALIZING
1788185593.882,7,2,Class_66,0.711,1774.5,307.5,0.00,,INITIALIZING
1788185594.052,8,1,Class_73,0.846,1224.5,539.5,0.00,,INITIALIZING
1788185594.052,8,2,Class_66,0.686,1774.5,307.5,0.00,,INITIALIZING
1788185594.194,9,1,Class_73,0.860,1217.5,540.0,0.00,,INITIALIZING
1788185594.194,9,2,Class_66,0.674,1774.0,309.0,0.00,,INITIALIZING
1788185594.325,10,1,Class_73,0.843,1222.5,540.0,0.00,,INITIALIZING
1788185594.325,10,2,Class_66,0.665,1773.5,309.5,0.00,,INITIALIZING
1788185594.444,11,1,Class_73,0.845,1228.0,540.0,0.00,,INITIALIZING
1788185594.444,11,2,Class_66,0.619,1773.0,310.0,0.00,,INITIALIZING
1788185594.578,12,1,Class_73,0.471,1243.5,539.0,0.00,,INITIALIZING
1788185594.578,12,2,Class_66,0.655,1767.0,321.0,0.00,,INITIALIZING
1788185594.701,13,1,Class_73,0.463,1249.0,539.0,0.00,,INITIALIZING
1788185594.701,13,2,Class_66,0.673,1766.0,326.0,0.00,,INITIALIZING
1788185594.812,14,1,Class_73,0.413,1250.5,538.5,0.00,,INITIALIZING
1788185594.812,14,2,Class_66,0.668,1765.5,329.0,0.00,,INITIALIZING
1788185594.929,15,1,Class_73,0.548,1252.0,539.0,0.00,,INITIALIZING
1788185594.929,15,2,Class_66,0.673,1765.0,329.5,0.00,,INITIALIZING
1788185595.321,18,-1,Class_46,0.360,826.5,527.5,0.00,,INITIALIZING
1788185595.598,20,1,PIV,0.810,990.0,529.5,0.00,,INITIALIZING
1788185595.724,21,4,PIV,0.450,873.0,521.5,0.00,,INITIALIZING
1788185595.724,21,1,PIV,0.641,968.5,531.5,0.00,,INITIALIZING
1788185595.862,22,4,PIV,0.252,939.0,530.0,0.00,,INITIALIZING
1788185596.056,23,4,PIV,0.262,970.5,538.5,0.00,,INITIALIZING
1788185596.056,23,1,PIV,0.294,833.0,520.0,0.00,,INITIALIZING
1788185596.218,24,4,PIV,0.425,960.5,529.0,0.00,,INITIALIZING
1788185596.376,25,4,PIV,0.267,972.0,537.0,0.00,,INITIALIZING
1788185596.376,25,1,PIV,0.354,803.0,517.0,0.00,,INITIALIZING
1788185596.514,26,4,PIV,0.610,975.5,533.0,0.00,,INITIALIZING
1788185596.514,26,1,PIV,0.371,785.5,514.5,0.00,,INITIALIZING
1788185596.659,27,4,PIV,0.803,978.5,532.0,0.00,,INITIALIZING
1788185596.845,28,4,PIV,0.858,973.5,527.5,0.00,,INITIALIZING
1788185597.009,29,4,PIV,0.780,982.5,529.5,0.00,,INITIALIZING
1788185597.173,30,4,PIV,0.766,983.5,528.5,0.00,,INITIALIZING
1788185597.310,31,4,PIV,0.881,972.5,525.0,0.00,,INITIALIZING
1788185597.440,32,4,PIV,0.892,973.0,524.5,0.00,,INITIALIZING
1788185597.570,33,4,PIV,0.872,974.0,524.5,0.00,,INITIALIZING
1788185597.760,34,4,PIV,0.854,975.0,522.0,0.00,,INITIALIZING
1788185597.930,35,4,PIV,0.606,976.0,522.5,0.00,,INITIALIZING
1788185598.068,36,4,PIV,0.449,969.0,533.5,0.00,,INITIALIZING
1788185598.195,37,4,PIV,0.837,966.5,533.0,0.00,,INITIALIZING
1788185598.337,38,4,PIV,0.696,965.5,537.5,0.00,,INITIALIZING
1788185598.459,39,4,PIV,0.842,967.0,539.0,0.00,,INITIALIZING
1788185598.587,40,4,PIV,0.838,970.5,535.0,0.00,,INITIALIZING
1788185598.721,41,4,PIV,0.821,970.0,534.5,0.00,,INITIALIZING
1788185598.886,42,4,PIV,0.806,970.0,534.0,0.00,,INITIALIZING
1788185599.015,43,4,PIV,0.887,970.0,533.5,0.00,,INITIALIZING
1788185599.139,44,4,PIV,0.911,971.0,534.0,0.00,,INITIALIZING
1788185599.300,45,4,PIV,0.886,971.0,532.5,0.00,,INITIALIZING
1788185599.411,46,4,PIV,0.884,969.0,533.5,0.00,,INITIALIZING
1788185599.539,47,4,PIV,0.847,971.0,534.0,0.00,,INITIALIZING
1788185599.683,48,4,PIV,0.795,966.0,534.5,0.00,,INITIALIZING
1788185599.839,49,4,PIV,0.718,966.5,532.5,0.00,,INITIALIZING
1788185599.996,50,-1,Class_27,0.660,1651.0,536.0,0.00,,INITIALIZING
1788185600.138,51,9,Class_27,0.380,1652.0,535.5,0.00,,INITIALIZING
1788185600.278,52,9,Class_27,0.469,1651.5,535.0,0.00,,INITIALIZING
1788185600.406,53,9,Class_27,0.262,1652.5,535.0,0.00,,INITIALIZING
1788185600.664,55,9,Class_27,0.706,1654.0,534.0,0.00,,INITIALIZING
1788185600.786,56,9,Class_27,0.638,1654.0,535.0,0.00,,INITIALIZING
1788185600.931,57,9,Class_27,0.343,1653.5,536.5,0.00,,INITIALIZING
1788185601.059,58,9,Class_27,0.438,1652.5,535.5,0.00,,INITIALIZING
1788185601.203,59,4,PIV,0.808,1162.0,538.0,36.18,,STABLE
